ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
96,Так,10,2026-07-24 14:50:53,2026-07-24 15:03:27,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Так,Ні,Ні,Ні,Ні,Ні,"власні переконання. я підтримую головні меседжі і вимоги мітингу, тому вирішила приєднатися",Так,Ні,Ні,Так,,"Вимагаю прозорості рішень влади - щоб вони пояснювали суспільству свої дії. Мені остогидло, що влада кожне рішення приймає з думкою, що народ його проковтне. 
Відставка сирського - вважаю, що йому пора на пенсію. 
Повернення Федорова - важливо зазначити, що я не є фанаткою конкретної особистості як багато хто в соцмережах, просто мені імпонує його підхід і команда, бачу ефективність його діяльності, тож вважаю рішення президента несправедливим.",Ні,Безумовно так,Скоріше ні,Важко відповісти,2,5,1 - Зовсім не довіряю,5,2,4,"Інна Совсун, Роман Лозинський, Ярослав Железняк",2,Не погоджуюсь,Важко сказати,Ні
97,Так,10,2026-07-24 14:51:30,2026-07-24 15:01:02,Так,Так,Так,Чоловіча,25,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,"Почитав новини і вирішив, що потрібно іти на протест",Ні,Так,Так,Ні,,"Наблизити крах цієї влади. Я переконаний, що нам потрібна зміна влади, (чи то вибори, чи імпічмент, чи відставка - це не так важливо). Тому цей протест зменшить підтримку поточної влади, а отже ми будемо ближче до оновлення. Тому моя участь це +1 до кількості людей на протесті і чим більше, чи менше довіри до президента, уряду, ВР і це наближає її кінець.",Ні,Безумовно так,Важко відповісти,Важко відповісти,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,2,"навіть не знаю, довіряю журоналістам - УП, Громадське, Радіо Свобода, Бігус, тощо.... з політиків, ну довіряю депутатам, хто блокував трибуну, коли голосувати за ліквідацію незалежності НАБУ і САП",6,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
98,Так,10,2026-07-24 14:56:19,2026-07-24 14:59:25,Так,Так,Так,Жіноча,28,Запорізька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Запоріжжя,Ні,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,Повернути Федорова,Так,Безумовно так,Точно ні,Скоріше ні,3,6,1 - Зовсім не довіряю,5,3,4,Незалежні медіа,5,Не погоджуюсь,0 - Зовсім неприйнятно,Так
99,Ні,7,2026-07-24 14:57:40,2026-07-24 15:10:21,Так,Так,Так,Чоловіча,18,Запорізька,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Запоріжжя,Ні,Ні,Так,Так,Ні,Ні,,Ні,Так,Ні,Так,,Натиснути на владу,Ні,Безумовно так,Скоріше ні,Безумовно так,2,6,1 - Зовсім не довіряю,7 - Повністю довіряю,5,5,,,,,
100,Так,10,2026-07-24 14:58:15,2026-07-24 15:12:08,Так,Так,Так,Чоловіча,32,Запорізька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Запоріжжя,Ні,Ні,Так,Ні,Ні,Ні,"Сергія Стернеко постійно дивлюсь, також в групі з минулого року почали писати про те щоб збирались й виходили.",Так,Ні,Ні,Ні,"Був в минулому році, тому є в групі телеграма.","Побудувати найкраще майбутнє України з найкращими людьми. 
Щоб нація не загинула, а навпаки розквітла.
Зробити щось, щоб були зміни на краще.
Якщо є можливість не мовчати, скористатися єю!
Мотивацію додало минулорічний успіх акції, недавня теж. І не було проблем, переслідування погроз мені.
А лідерам були.",Так,Безумовно так,Точно ні,Безумовно так,2,6,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,"Немає нікого, не цікавився. Може «Залізному депутату».",9,Зовсім не погоджуюсь,2,Так
101,Так,10,2026-07-24 14:58:19,2026-07-24 15:04:24,Так,Так,Так,Жіноча,21,Запорізька,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Ні,"Дівчинка в якої уїбало кабом біля під'їзду, немає роботи,не навчаюся,наче громадська діячка",Запоріжжя,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Аби Україна була вільна,незалежна,без довбойобів,аби влада в першу чергу питала думки громадян,і щоб Україна не перетворювалася на русню",Так,Безумовно так,Безумовно так,Скоріше так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,"Не знаю, хто це","Не знаю, хто це","Не знаю, хто це",Не знаю,0 - Ліві,Зовсім не погоджуюсь,Важко сказати,Так
102,Так,10,2026-07-24 15:00:29,2026-07-24 15:06:24,Так,Так,Так,Чоловіча,22,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Ні,Так,Ні,Ні,Так,,Так,Ні,Ні,Ні,,Звільнення Сирського та призначення Федорова міністром оборони,Ні,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,7 - Повністю довіряю,3,6,Федоров,8,"Наскільки погоджуюсь, настільки і не погоджуюсь",7,Ні
103,Так,10,2026-07-24 15:05:28,2026-07-24 15:16:13,Так,Так,Так,Чоловіча,27,Запорізька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Запоріжжя,Ні,Ні,Ні,Ні,Так,Ні,,Ні,Так,Ні,Ні,,"1. Чинити опір подальшій узурпації влади
2. Вплинути на ефективність оборонної політики/стратегії(сповільнити контр-реформи, спонукати до реформ)
3. Продемонструвати солідарність з Михайлом Федоровим",Так,Безумовно так,Точно ні,Безумовно так,1 - Зовсім не довіряю,6,2,6,3,5,"Ярослав Железняк, Анастасія Радіна",5,Зовсім не погоджуюсь,2,Так
104,Так,10,2026-07-24 15:11:21,2026-07-24 15:21:48,Так,Так,Так,Чоловіча,22,Запорізька,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Запоріжжя,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Змінити країну на краще,Ні,Безумовно так,Скоріше ні,Безумовно так,4,6,1 - Зовсім не довіряю,5,"Не знаю, хто це",4,Михайло Федоров,0 - Ліві,Зовсім не погоджуюсь,Важко сказати,Так
105,Так,10,2026-07-24 15:11:42,2026-07-24 15:18:55,Так,Так,Так,Жіноча,27,Запорізька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Запоріжжя,Ні,Ні,Ні,Ні,Ні,Ні,Збиралась виходити у будь-якому випадку після відсутності комунікації чому ефективного МО прибрали з позиції через півроку роботи.,Ні,Так,Ні,Ні,,Повернути ефективного МО - М.Федорова або дати чітку прозору відповідь з якої причини його зняли з посади.,Так,Безумовно так,Точно ні,Безумовно так,3,6,2,6,3,5,"Михайло Федоров, Кирило Буданов, Інна Совсун",5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
106,Ні,4,2026-07-24 15:32:55,2026-07-24 15:37:44,Так,Так,Так,Жіноча,33,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Так,Ні,Ні,Ні,Ні,Особисте обурення,Ні,Ні,Так,Ні,,,,,,,,,,,,,,,,,
107,Так,10,2026-07-24 15:41:55,2026-07-24 15:50:17,Так,Так,Так,Жіноча,22,Чернігівська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Чернігів,Ні,Ні,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"Як цивільна людина бути причетною до зміни системних проблем у нашій країні, поки військові виборюють це безпосередньо на війні",Так,Безумовно так,Важко відповісти,Важко відповісти,3,6,1 - Зовсім не довіряю,7 - Повністю довіряю,Важко сказати,5,"Інна Совсун, Федоров",8,Зовсім не погоджуюсь,3,Так
108,Так,10,2026-07-24 15:44:07,2026-07-24 15:47:44,Так,Так,Так,Жіноча,26,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Ні,Ні,Ні,Ні,Ні,просто дописи рандомних людей у стрічці,Ні,Так,Ні,Ні,,"Хочу щоб війна скоріш скінчилась, без нормальної армії вона не скінчиться ніколи",Ні,Безумовно так,Важко відповісти,Скоріше так,4,5,1 - Зовсім не довіряю,5,"Не знаю, хто це",Важко сказати,собі,4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
109,Так,10,2026-07-24 15:48:24,2026-07-24 16:02:09,Так,Так,Так,Жіноча,27,Запорізька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Запоріжжя,Ні,Ні,Ні,Ні,Ні,Ні,"Вийшла, бо мусила озвучити свою позицію. Знаю політичний простір у своєму місті, знаю що зазвичай виходим ввечері.",Так,Ні,Ні,Ні,"Та бо є культура протесту, і у будь-якому місті я швидко знайду той простір, під яким люди протестують.","1. Звільнення з посади головнокомандувача Сирського - уже досягли. 
2. Повернення на посаду міністра оборони М.Федорова: його підхід на масштабування технологій асиметричних відповідей та аналізу втрат за допомогою підходів big data analytics дає результати, але головне - надію на перемогу України. А надія - це рушій змін.",Ні,Безумовно так,Точно ні,Безумовно так,4,5,2,6,2,5,,8,Важко сказати,0 - Зовсім неприйнятно,Так
110,Так,10,2026-07-24 15:51:33,2026-07-24 16:07:05,Так,Так,Так,Чоловіча,19,Перебуваю за кордоном,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,"Варшава, Луцьк",Ні,Ні,Так,Ні,Ні,Ні,"Обурення після прийнятих рішень, які не були обгрунтовані жодними поясненнями",Так,Ні,Так,Ні,Я організовував протест,"Основна мета: повернення Михайла Федорова на посаду міністра оборони України або отримання обґрунтування рішень та план наступних дій міністерства оборони України, у разі надання переваги іншому кандидату.
Друга мета: відставка Головкома ЗСУ Олександра Сирського",Так,Безумовно так,Скоріше ні,Безумовно так,4,7 - Повністю довіряю,2,7 - Повністю довіряю,5,6,"Михайло Федоров, Роман Лозинський, Роман Грищук",6,Не погоджуюсь,3,Так
111,Так,10,2026-07-24 15:55:01,2026-07-24 16:14:30,Так,Так,Так,Жіноча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"Повернення Федорова на посаду МО з метою збереження курсу на боротьбу з корупцією та попилом коштів на закупівлях для армії, а також діджиталізацію, розвиток та впровадження інноваційних технологій  у відповідній сфері",Ні,Безумовно так,Скоріше ні,Безумовно так,3,6,2,6,2,1 - Зовсім не довіряю,"Федоров, можливо Железняк",3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
112,Так,10,2026-07-24 16:01:42,2026-07-24 16:12:20,Так,Так,Так,Жіноча,40,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Ні,Ні,Ні,Ні,Ні,Свідоме рішення,Так,Ні,Ні,Ні,,Боротьба за справедливість,Ні,Безумовно так,Точно ні,Важко відповісти,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,Важко сказати,"Гончаренко, Мазурашу",Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
113,Так,10,2026-07-24 16:09:42,2026-07-24 16:20:59,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Так,Ні,Ні,Ні,Так,,Ні,Ні,Так,Так,,"Показати владі, що я та інші свідомі громадяни не готові терпіти як неправомірне усунення з посади людини, яка ефективно здійснювала свої обов'язки ( у цьому випадку стосується Михайла Федора), так і утримування осіб, що зловживають своїми повноваженнями та ставляться до підлеглих як до ""одноразок"" (наприклад, Сирського)",Так,Скоріше так,Скоріше ні,Скоріше так,2,5,1 - Зовсім не довіряю,5,Важко сказати,Важко сказати,"Михайлу Федорову, Михайлу Драпатому",2,Не погоджуюсь,2,Ні
114,Так,10,2026-07-24 16:20:27,2026-07-24 16:24:57,Так,Так,Так,Чоловіча,19,Волинська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Луцьк,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Так,Так,,Проявити свою незгоду з рішеннями влади,Ні,Безумовно так,Скоріше ні,Скоріше так,2,6,1 - Зовсім не довіряю,7 - Повністю довіряю,"Не знаю, хто це",4,Федоров,6,Не погоджуюсь,0 - Зовсім неприйнятно,Ні
115,Так,10,2026-07-24 16:33:31,2026-07-24 16:37:37,Так,Так,Так,Чоловіча,23,Львівська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Львів,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Відстоюваання демократії,Так,Безумовно так,Скоріше ні,Скоріше так,4,6,2,7 - Повністю довіряю,2,4,"Федоров, Буданов, Железняк, Стерненко",7,Зовсім не погоджуюсь,1,Так
116,Так,10,2026-07-24 16:36:09,2026-07-24 16:46:34,Так,Так,Так,Жіноча,37,Чернігівська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Чернігів,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Так,,"1) Повернути ефективного міністра оборони, якого звільнили без жодних поважних причин, на посаду. 2) Прибрати Сирського ( done✅)",Ні,Безумовно так,Скоріше ні,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,6,"Не знаю, хто це",6,Та нікому,0 - Ліві,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
117,Так,10,2026-07-24 16:42:19,2026-07-24 16:50:21,Так,Так,Так,Жіноча,43,Одеська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Одеса,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,Мета - повернення Федорова на пост Міністра Оборони,Ні,Безумовно так,Точно ні,Безумовно так,2,7 - Повністю довіряю,2,5,Важко сказати,5,Федоров,Важко сказати,Зовсім не погоджуюсь,Важко сказати,Ні
118,Так,10,2026-07-24 16:42:47,2026-07-24 16:47:38,Так,Так,Так,Жіноча,28,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,Дотична до фонду допомоги війську,Луцьк,Ні,Так,Ні,Ні,Ні,Ні,,Так,Ні,Ні,Так,,Краще теперішнє і майбутнє України,Так,Безумовно так,Скоріше ні,Скоріше так,4,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,Важко сказати,4,Інна Совсун,0 - Ліві,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
119,Так,10,2026-07-24 17:18:11,2026-07-24 17:22:58,Так,Так,Так,Жіноча,20,Запорізька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Запоріжжя,Ні,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,Якщо не буде Федорова з хвилею російської мобілізації ми боротися не зможемо,Так,Безумовно так,Важко відповісти,Скоріше так,3,7 - Повністю довіряю,1 - Зовсім не довіряю,6,"Не знаю, хто це",2,"Федоров, Драпатий",0 - Ліві,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Ні
120,Так,10,2026-07-24 17:54:16,2026-07-24 18:19:59,Так,Так,Так,Жіноча,37,Закарпатська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Ужгород,Ні,Ні,Ні,Ні,Ні,Ні,"Побачила оголошення в Facebook про мирну акцію в Києві, тому також пішла на площу у своєму місці на той самий час",Ні,Ні,Ні,Ні,Facebook,Моя мета - системні зміни в державі: повернення суб'єктності Верховної ради і відмова від ручного управління на користь створення сильних процедур в інституціях.,Так,Безумовно так,Скоріше ні,Скоріше ні,2,3,2,4,2,3,"Я нікому з політичних діячів не довіряю. Вважаю, що держава має створювати сильні інституції.",5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
121,Ні,5,2026-07-24 18:16:41,2026-07-24 18:18:29,Так,Так,Так,Чоловіча,20,Сумська,Ні,Ні,Так,Так,Ні,Ні,Ні,Ні,,Чернігів,Ні,Ні,Ні,Ні,Так,Ні,,Ні,Так,Ні,Ні,,,,,,,,,,,,,,,,,
122,Так,10,2026-07-24 19:05:17,2026-07-24 20:15:44,Так,Так,Так,Жіноча,18,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Так,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,Повернення дієвого міністра на посаду,Так,Скоріше так,Точно ні,Скоріше так,Важко сказати,5,2,4,Важко сказати,3,,Важко сказати,Не погоджуюсь,6,Так
123,Ні,5,2026-07-24 19:54:53,2026-07-24 19:56:42,Так,Так,Так,Жіноча,27,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Так,Ні,Ні,Ні,Ні,,Ні,Ні,Ні,Так,,,,,,,,,,,,,,,,,
124,Ні,5,2026-07-24 20:28:21,2026-07-24 20:30:18,Так,Так,Так,Жіноча,18,Волинська,Так,Ні,Ні,Ні,Ні,Ні,Ні,Ні,,Луцьк,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,,,,,,,,,,,,,,,,
125,Так,10,2026-07-24 20:47:54,2026-07-24 20:52:32,Так,Так,Так,Жіноча,23,Харківська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Харків,Ні,Так,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,Бездіяльність  вбиває,Так,Скоріше так,Скоріше так,Скоріше так,3,5,1 - Зовсім не довіряю,5,3,"Не знаю, хто це",,5,Не погоджуюсь,10 - Цілком прийнятно,Так
126,Так,10,2026-07-24 21:30:29,2026-07-24 21:35:37,Так,Так,Так,Чоловіча,27,Закарпатська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Так,Так,Ні,,"Мета висловити невдоволення зміною міністра оборони Федорова, який за собою не мав значних погрішностей на посту, а також висловити невдоволення, що однією з причин звільнення федорова був конфлікт з сирськии, який є виразником радянськості армії і неодноразово критикувався військовими",Так,Безумовно так,Точно ні,Скоріше ні,1 - Зовсім не довіряю,5,2,5,2,3,"Жодному в повній мірі, тому не виділяю нікого",6,Не погоджуюсь,2,Так
127,Так,10,2026-07-24 23:33:28,2026-07-24 23:55:34,Так,Так,Так,Жіноча,22,Харківська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Харків,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Проявити свою громадянську позицію та дотиснути владу прийняти правильні рішення: повернути Федорова на посаду МО, зняти з посади головкому сирського, продовжити реформи у сфері оборони.",Ні,Безумовно так,Важко відповісти,Важко відповісти,2,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,4,"Стерненко, Драпатий, Федоров",Важко сказати,Не погоджуюсь,0 - Зовсім неприйнятно,Так
128,Так,10,2026-07-25 04:07:18,2026-07-25 04:14:33,Так,Так,Так,Жіноча,22,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Так,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,"Не бачила ґрунтовної логіки у рішенні президента прибрати Федорова з посади МО, дізналася про мітинги і не хотіла бути осторонь, тому приєдналась",Ні,Безумовно так,Важко відповісти,Важко відповісти,4,6,1 - Зовсім не довіряю,5,4,4,,5,Не погоджуюсь,1,Ні
129,Так,10,2026-07-25 07:32:05,2026-07-25 07:47:03,Так,Так,Так,Чоловіча,34,Запорізька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Запоріжжя , Дніпро",Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Проти корупції , за повернення міністра оборони на посаду , тобто внесення президентом кандидатури Михайла Федорова на посаду міністра оборони до ВРУ .
Друга причина котра вже зʼявилася потім це також призначення повноцінного голову СБУ НЕ т. В.О.",Так,Безумовно так,Скоріше ні,Скоріше так,4,7 - Повністю довіряю,4,7 - Повністю довіряю,4,6,"Порошенко  , Яценюк , Малюк, Федоров Михайло, , Зеленський (+\-)",Важко сказати,"Наскільки погоджуюсь, настільки і не погоджуюсь",10 - Цілком прийнятно,Так
130,Так,10,2026-07-25 07:33:32,2026-07-25 07:38:52,Так,Так,Так,Чоловіча,20,Волинська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Луцьк,Ні,Ні,Ні,Ні,Ні,Ні,-,Так,Так,Ні,Ні,,Зміна президента,Ні,Безумовно так,Скоріше ні,Безумовно так,2,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,3,7 - Повністю довіряю,Януковичу),7,Зовсім не погоджуюсь,Важко сказати,Ні
131,Так,10,2026-07-25 08:08:09,2026-07-25 08:14:08,Так,Так,Так,Жіноча,28,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Свідоме громадянське волевиявлення з приводу принципових кадрових питань для оборонної та політичної спроможності України (МО, Головко, МінВет)",Ні,Безумовно так,Скоріше ні,Важко відповісти,5,5,1 - Зовсім не довіряю,6,3,4,"Зеленський, Драпатый, Федорів, Свириденко",7,Зовсім не погоджуюсь,4,Так
132,Так,10,2026-07-25 10:13:18,2026-07-25 10:19:28,Так,Так,Так,Жіноча,22,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Так,Ні,Так,,"відстояти правду, погляд народу",Ні,Безумовно так,Точно ні,Скоріше так,4,6,2,6,"Не знаю, хто це",5,"федоров, драпатий",2,Зовсім не погоджуюсь,4,Так
133,Так,10,2026-07-25 11:09:22,2026-07-25 11:13:04,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Так,Так,Так,,Проявити волевиявлення,Ні,Скоріше так,Точно ні,Скоріше ні,5,6,Важко сказати,4,Важко сказати,Важко сказати,,4,Не погоджуюсь,2,Так
134,Так,10,2026-07-25 11:09:57,2026-07-25 11:12:52,Так,Так,Так,Жіноча,25,Сумська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,"повернути Федорова на посаду міністра МОУ, звільнення Мирського, перебирання міністра ветеранів",Так,Безумовно так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,4,5,"Хмара, Драпатий, Федоров",5,Зовсім не погоджуюсь,5,Так
135,Так,10,2026-07-25 11:22:47,2026-07-25 11:28:43,Так,Так,Так,Чоловіча,32,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,підтримка реформації армії та відхід від совкого-м'ясного керування військом. протест призначення підслідних мусорів на посади міністрів. протидія корупції в закупівлях. вимога реформи ДБР.,Так,Безумовно так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,6,"Лозинський, Юрчишин, Железняк",Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
